top - 09:29:34 up 15 min,  1 user,  load average: 0.05, 0.12, 0.18
Tasks: 295 total,   1 running, 294 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  6.1 sy,  0.0 ni, 81.8 id, 12.1 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,   1010.4 free,   1257.8 used,   1880.8 buff/cache     
MiB Swap:   3771.0 total,   3771.0 free,      0.0 used.   2609.9 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3969 dev-onb+  20   0   14500   5552   3504 R   7.7   0.1   0:00.03 top
      1 root      20   0   23292  14216   9480 S   0.0   0.4   0:05.94 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.07 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root      20   0       0      0      0 I   0.0   0.0   0:00.72 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.09 ksoftir+
     18 root      20   0       0      0      0 I   0.0   0.0   0:00.74 rcu_pre+
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.01 rcu_exp+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.01 rcu_exp+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.03 migrati+
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
